carat,cut,color,clarity,depth,table,price,radius
0.8,4,5,2,61.7,58,2762,2.99
0.71,5,4,4,62.4,54,2762,2.86
0.7,5,6,4,60.7,58,2762,2.865
0.8,5,5,2,59.9,59,2762,3.005
0.71,5,7,2,62.3,56,2762,2.865
0.74,5,6,3,62.3,54,2762,2.9
0.7,3,5,4,61.7,63,2762,2.82
0.7,1,5,4,64.5,57,2762,2.785
0.7,4,5,4,61.6,60,2762,2.825
0.91,4,3,3,61.4,56,2763,3.045
0.61,3,7,6,59.6,57,2763,2.78
0.91,1,3,2,64.4,57,2763,3.055
0.77,5,3,4,62.0,56,2763,2.945
0.71,3,7,3,63.6,58,2764,2.82
0.71,5,7,3,61.9,59,2764,2.845
0.7,3,6,4,62.6,60,2765,2.81
0.77,3,3,5,61.3,60,2765,2.94
0.63,4,6,7,60.9,60,2765,2.76
0.71,3,5,5,60.1,62,2765,2.87
0.71,4,5,5,61.8,59,2765,2.845
0.76,5,3,3,61.2,57,2765,2.94
0.64,5,4,7,61.9,56,2766,2.765
0.71,4,4,4,60.9,57,2766,2.89
0.71,4,4,4,59.8,56,2766,2.945
0.7,3,7,4,61.8,55,2767,2.84
0.7,3,5,5,60.0,57,2767,2.9
0.71,5,7,2,61.6,55,2767,2.87
0.71,3,4,5,63.3,59,2768,2.76
0.73,3,7,3,60.2,56,2768,2.915
0.7,3,7,3,61.1,58,2768,2.83
0.7,5,6,3,60.9,57,2768,2.865
0.71,4,7,2,61.7,59,2768,2.855
0.74,5,2,3,61.3,56,2769,2.91
0.71,4,7,4,62.5,60,2770,2.825
0.73,4,4,4,61.4,59,2770,2.915
0.76,3,5,3,62.9,57,2770,2.895
0.76,5,7,2,62.4,57,2770,2.89
0.71,5,5,3,60.7,56,2770,2.885
0.73,4,4,4,60.7,58,2770,2.935
0.73,4,4,5,61.5,58,2770,2.895
0.73,5,7,2,59.9,57,2770,2.96
0.73,4,4,4,59.2,59,2770,2.96
0.72,3,3,6,60.3,56,2771,2.905
0.73,3,5,3,61.7,60,2771,2.895
0.71,5,4,4,61.9,57,2771,2.865
0.79,5,5,2,61.9,55,2771,2.985
0.73,3,3,7,60.4,59,2772,2.915
0.8,3,5,2,61.0,57,2772,3.005
0.58,5,4,7,61.5,55,2772,2.695
0.58,5,5,7,61.7,56,2772,2.665
0.71,2,6,4,59.2,61,2772,2.9
0.75,5,7,2,61.3,56,2773,2.925
1.17,3,1,1,60.2,61,2774,3.415
0.6,5,6,5,61.7,55,2774,2.705
0.7,5,6,3,62.7,55,2774,2.84
0.83,2,2,4,64.6,54,2774,2.925
0.74,3,5,4,61.3,61,2775,2.9
0.72,3,4,4,63.7,56,2776,2.81
0.71,4,6,4,62.7,58,2776,2.87
0.71,5,6,4,62.2,57,2776,2.895
0.54,5,6,6,61.6,56,2776,2.625
0.54,5,6,6,61.5,57,2776,2.62
0.72,5,4,3,61.8,56,2776,2.86
0.72,5,4,3,60.7,56,2776,2.895
0.72,2,4,4,59.7,60,2776,2.9
0.71,5,4,3,60.5,56,2776,2.9
0.7,3,7,5,62.7,58,2777,2.83
0.71,4,5,4,62.1,58,2777,2.835
0.71,3,5,4,62.8,57,2777,2.82
0.71,2,5,4,63.8,58,2777,2.805
0.7,5,6,4,62.1,55,2777,2.85
0.7,4,6,4,61.1,60,2777,2.855
0.7,4,6,3,60.0,59,2777,2.895
0.7,4,6,3,61.2,57,2777,2.865
0.7,4,6,3,62.7,59,2777,2.835
0.7,4,6,3,61.0,57,2777,2.865
0.7,4,6,3,61.0,58,2777,2.89
0.7,5,6,3,61.4,57,2777,2.88
0.72,4,5,3,61.8,61,2777,2.91
0.7,3,6,3,59.9,63,2777,2.88
0.7,4,6,3,61.3,58,2777,2.855
0.7,4,6,3,60.5,58,2777,2.885
0.7,2,6,4,64.1,59,2777,2.82
0.78,4,5,3,62.4,58,2777,2.915
0.7,3,6,3,63.2,60,2777,2.8
0.52,5,5,7,61.3,55,2778,2.595
0.73,3,3,4,60.8,56,2779,2.91
0.74,5,6,3,61.7,56,2779,2.92
0.7,3,5,4,63.6,57,2780,2.805
0.77,4,4,4,61.2,58,2780,2.95
0.71,5,5,4,62.1,54,2780,2.84
0.74,5,4,5,61.5,55,2780,2.905
0.7,5,4,5,61.4,59,2780,2.82
1.01,4,5,1,61.8,60,2781,3.195
0.77,5,3,3,62.2,56,2781,2.915
0.78,5,3,3,61.2,56,2781,2.96
0.72,3,3,5,60.6,63,2782,2.915
0.76,5,4,4,61.3,56,2782,2.95
0.7,4,6,5,62.9,60,2782,2.81
0.75,3,7,2,63.1,58,2782,2.89
0.72,5,7,3,60.8,57,2782,2.88
0.72,4,7,3,62.7,59,2782,2.865
0.7,4,7,3,62.8,60,2782,2.84
0.75,4,5,3,61.4,59,2782,2.94
0.52,5,5,8,62.2,55,2783,2.57
0.72,3,5,4,63.0,54,2784,2.845
0.79,3,3,5,63.7,56,2784,2.925
0.72,3,5,4,63.6,58,2787,2.83
0.51,5,5,7,62.0,57,2787,2.555
0.64,5,7,5,61.5,56,2787,2.77
0.7,3,3,7,60.5,60,2788,2.87
0.83,3,2,5,61.1,60,2788,3.035
0.76,5,2,6,61.8,56,2788,2.925
0.71,2,7,4,63.3,56,2788,2.82
0.71,5,5,3,62.5,55,2788,2.855
1.01,1,6,1,64.5,58,2788,3.145
1.01,4,3,2,62.7,59,2788,3.155
0.77,2,5,3,64.2,52,2789,2.905
0.76,2,6,3,63.7,54,2789,2.88
0.76,4,6,3,60.4,58,2789,2.96
0.76,4,6,3,61.8,58,2789,2.91
1.05,3,1,2,63.2,56,2789,3.245
0.81,5,4,2,61.6,56,2789,2.985
0.7,5,6,3,61.6,56,2789,2.86
0.55,5,4,8,60.9,57,2789,2.64
0.81,2,4,2,61.0,61,2789,2.97
0.63,4,6,6,62.1,57,2789,2.74
0.63,4,6,7,60.9,60,2789,2.775
0.77,4,3,5,61.3,60,2789,2.95
0.64,5,4,8,61.3,56,2790,2.77
0.76,4,2,7,58.8,59,2790,3.0
0.83,5,5,2,62.3,55,2790,3.01
0.71,4,5,5,60.1,62,2790,2.885
0.71,4,5,5,61.8,59,2790,2.865
0.87,3,2,3,63.6,55,2791,3.035
0.73,5,6,3,62.2,56,2791,2.87
0.71,4,6,3,59.2,59,2792,2.915
0.71,4,6,3,61.8,59,2792,2.85
0.71,5,6,3,61.3,55,2792,2.86
0.7,4,5,5,62.1,60,2792,2.855
0.7,4,5,5,60.7,60,2792,2.89
0.76,4,3,6,59.6,57,2792,2.955
0.7,5,5,5,62.2,56,2792,2.865
0.79,3,4,3,60.6,57,2793,2.99
0.7,3,6,4,62.9,57,2793,2.83
0.7,2,6,4,64.1,55,2793,2.8
0.76,5,2,4,61.3,56,2793,2.935
0.73,5,3,4,62.7,55,2793,2.86
0.79,3,6,3,63.2,56,2794,2.955
0.71,3,6,4,60.7,56,2795,2.905
0.81,4,2,6,61.9,60,2795,2.955
0.81,5,5,2,62.6,55,2795,2.96
0.72,2,5,5,60.7,60,2795,2.87
0.72,4,7,2,62.0,60,2795,2.865
0.72,4,2,8,63.0,57,2795,2.86
0.72,4,4,4,62.9,57,2795,2.865
0.73,2,6,3,63.2,58,2796,2.85
0.81,3,3,2,61.3,59,2797,2.97
0.81,3,6,3,60.3,60,2797,3.035
0.71,4,7,3,62.7,60,2797,2.835
0.71,4,7,3,61.3,58,2797,2.865
0.71,4,7,3,61.6,60,2797,2.87
0.57,5,5,6,61.9,55,2797,2.67
0.51,5,7,7,61.7,56,2797,2.56
0.72,5,4,4,61.9,58,2797,2.86
0.74,5,3,5,61.8,58,2797,2.885
0.74,5,3,5,61.6,56,2797,2.905
0.8,4,5,2,61.0,57,2797,3.015
0.8,3,3,4,63.4,60,2797,2.96
0.77,5,2,5,61.5,59,2798,2.935
0.82,5,5,2,62.4,54,2799,2.985
0.78,5,7,3,61.9,57,2799,2.955
0.6,3,4,8,61.6,56,2800,2.715
0.9,2,2,2,62.2,59,2800,3.035
0.7,4,6,5,62.2,58,2800,2.8
0.9,3,2,2,61.3,56,2800,3.085
0.83,5,4,3,62.3,57,2800,2.995
0.83,5,4,3,61.8,57,2800,3.015
0.83,3,3,3,62.5,59,2800,2.975
0.74,4,4,5,62.9,60,2800,2.87
0.79,5,2,5,61.8,59,2800,2.96
0.61,5,4,8,62.3,56,2800,2.715
0.96,5,5,1,60.7,55,2801,3.185
0.73,5,5,4,62.5,55,2801,2.9
0.73,4,5,4,62.7,58,2801,2.88
0.75,5,3,3,60.4,57,2801,2.965
0.71,4,5,4,62.1,58,2801,2.85
0.71,2,5,4,63.8,58,2801,2.82
0.71,4,5,4,62.8,57,2801,2.845
1.04,4,4,1,62.2,58,2801,3.23
1.0,4,1,2,62.3,58,2801,3.225
0.87,3,4,2,59.9,58,2802,3.095
0.53,5,5,8,61.9,54,2802,2.61
0.72,4,6,4,63.0,55,2802,2.895
0.72,4,5,5,62.4,58,2802,2.915
0.7,3,5,4,62.9,58,2803,2.815
0.74,3,6,3,63.5,56,2803,2.87
0.71,5,4,4,61.3,56,2803,2.875
0.73,5,6,3,60.6,54,2803,2.92
0.71,4,5,4,62.6,58,2803,2.85
0.71,4,4,5,62.4,61,2803,2.85
0.77,4,4,4,61.3,57,2803,2.965
0.71,4,4,4,59.9,60,2803,2.905
0.78,4,4,4,60.8,58,2803,3.015
0.71,3,4,5,63.5,55,2803,2.83
0.91,5,7,2,62.2,57,2803,3.105
0.71,3,6,4,63.8,58,2804,2.81
0.71,3,6,4,64.0,57,2804,2.83
0.8,3,6,2,62.5,56,2804,2.94
0.7,3,7,3,62.3,58,2804,2.845
0.72,5,5,5,61.7,57,2804,2.87
0.72,3,5,5,62.2,58,2804,2.875
0.82,5,3,4,61.5,56,2804,3.005
0.7,5,7,3,61.0,59,2804,2.84
0.72,5,7,3,62.2,56,2804,2.87
0.72,5,7,3,61.5,54,2804,2.885
0.74,4,5,4,61.7,58,2805,2.925
0.74,4,5,4,61.9,56,2805,2.9
0.73,5,6,2,61.8,58,2805,2.885
0.73,4,5,4,62.5,57,2805,2.875
0.72,5,4,4,62.8,56,2805,2.87
0.82,2,4,4,64.0,57,2805,2.96
0.81,3,4,3,62.5,60,2806,2.945
0.75,3,3,7,60.6,58,2806,2.925
0.7,5,5,3,61.6,55,2806,2.86
0.71,3,5,5,62.2,58,2807,2.83
0.71,3,5,5,60.0,57,2807,2.92
0.93,4,1,2,61.9,57,2807,3.105
0.8,3,3,4,62.8,57,2808,2.935
0.7,3,5,5,62.0,57,2808,2.82
0.75,3,4,4,63.4,56,2808,2.89
0.58,5,6,6,60.9,56,2808,2.705
0.73,3,7,3,63.1,57,2808,2.87
0.81,3,5,3,63.1,59,2809,2.925
0.81,4,7,2,59.2,57,2809,3.075
0.71,4,5,3,60.7,54,2809,2.92
1.2,1,5,1,64.6,56,2809,3.365
0.7,3,5,5,61.8,56,2810,2.815
0.7,3,5,5,59.9,60,2810,2.885
0.74,5,7,2,61.7,55,2810,2.905
0.7,2,5,5,62.8,61,2810,2.785
0.8,2,4,3,62.7,57,2810,2.92
0.75,3,5,3,63.4,58,2811,2.86
0.83,3,7,3,63.5,54,2811,2.99
0.7,3,4,5,63.0,60,2812,2.785
0.7,3,5,4,59.5,58,2812,2.875
0.7,2,6,3,63.5,59,2812,2.745
0.7,3,5,4,61.7,58,2812,2.815
0.32,4,2,3,62.7,58,554,2.185
0.32,4,2,3,62.8,58,554,2.195
0.32,5,2,3,62.4,57,554,2.185
0.32,4,2,3,61.0,59,554,2.195
0.32,3,2,3,63.1,56,554,2.195
0.32,5,2,3,60.7,57,554,2.235
0.3,4,3,3,60.9,59,554,2.155
0.3,4,3,3,60.1,55,554,2.205
0.3,4,3,3,62.9,58,554,2.14
0.3,3,3,3,63.3,56,554,2.145
0.3,2,3,3,63.8,55,554,2.13
0.3,5,3,3,62.9,57,554,2.135
0.3,3,3,3,63.4,60,554,2.125
0.32,2,2,3,63.9,55,554,2.18
0.33,5,3,2,61.4,56,554,2.425
0.29,3,6,5,61.9,55,555,2.14
0.29,3,6,5,62.4,55,555,2.1
0.31,3,5,3,61.8,58,555,2.16
0.34,5,3,4,61.5,56,555,2.235
0.34,5,3,4,60.4,57,555,2.27
0.34,5,2,5,61.8,55,555,2.24
0.34,5,2,5,62.0,56,555,2.25
0.3,5,4,5,62.3,56,555,2.145
0.29,5,5,5,61.6,56,555,2.13
0.35,5,4,3,60.6,56,555,2.28
0.32,3,5,4,61.4,58,556,2.185
0.36,5,2,4,61.9,56,556,2.27
0.3,5,4,4,62.0,56,556,2.14
0.7,3,5,4,62.3,58,2812,2.82
0.7,3,5,4,60.9,61,2812,2.83
0.71,5,7,3,62.4,57,2812,2.845
0.51,5,5,7,62.0,57,2812,2.575
0.91,4,4,2,59.8,58,2813,3.15
0.84,3,6,3,63.4,55,2813,3.0
0.91,2,2,4,64.3,58,2813,3.045
0.76,4,6,3,62.2,59,2814,2.93
0.76,5,6,3,61.7,57,2814,2.94
0.75,4,6,3,61.1,59,2814,2.93
0.55,3,7,7,61.5,56,2815,2.615
0.74,4,4,5,61.7,58,2815,2.895
0.7,5,3,3,60.4,56,2815,2.875
0.7,5,3,3,61.4,56,2815,2.85
0.7,5,3,3,61.5,55,2815,2.865
0.7,5,3,3,61.4,56,2815,2.86
0.89,4,3,2,60.2,59,2815,3.13
1.02,4,4,1,60.3,58,2815,3.275
0.78,3,2,6,61.4,56,2816,2.955
0.61,5,4,6,60.1,57,2816,2.76
0.71,2,7,5,63.4,55,2816,2.805
0.78,4,5,3,61.5,59,2816,2.98
0.87,5,3,2,62.7,56,2816,3.08
0.83,5,3,3,62.5,55,2816,3.02
0.71,4,6,3,61.3,56,2817,2.89
0.71,5,2,6,60.2,56,2817,2.92
0.71,5,6,4,62.7,57,2817,2.83
0.71,4,6,4,62.3,58,2817,2.845
0.63,5,5,6,61.5,56,2817,2.74
0.71,4,6,3,59.2,59,2817,2.93
0.71,4,6,3,61.8,59,2817,2.875
0.71,5,6,3,61.3,55,2817,2.885
0.71,4,6,3,61.4,58,2817,2.885
0.9,5,1,4,62.8,55,2817,3.1
0.7,4,6,4,62.4,61,2818,2.83
0.7,4,6,4,59.3,60,2818,2.89
0.7,4,6,4,63.0,60,2818,2.82
1.0,4,3,1,61.3,60,2818,3.215
0.86,4,5,2,59.3,62,2818,3.18
0.8,5,3,3,61.0,57,2818,3.035
0.7,5,6,5,62.9,57,2818,2.83
0.7,4,6,5,59.6,57,2818,2.955
0.7,4,5,4,61.8,60,2818,2.845
0.7,4,6,5,62.7,57,2818,2.84
0.72,3,4,5,63.8,58,2819,2.82
0.72,5,3,5,62.3,56,2819,2.865
0.7,2,5,5,59.7,63,2819,2.88
0.86,2,5,2,64.3,60,2819,2.985
0.71,5,4,5,62.9,58,2820,2.83
0.75,5,6,3,62.0,57,2821,2.9
0.73,4,6,4,61.6,59,2821,2.885
0.53,5,6,7,61.9,55,2821,2.6
0.73,4,6,3,61.3,58,2821,2.915
0.73,2,6,3,63.6,57,2821,2.86
0.73,4,6,3,59.6,61,2821,2.96
0.73,4,6,3,62.2,59,2821,2.885
0.73,4,7,3,61.7,55,2821,2.92
0.73,3,6,3,63.2,58,2821,2.88
0.7,4,6,5,60.8,60,2822,2.87
0.72,4,6,4,60.3,59,2822,2.92
0.72,4,6,4,60.9,60,2822,2.9
0.72,4,6,4,62.4,59,2822,2.885
0.7,4,6,4,60.2,60,2822,2.865
0.6,5,5,6,62.0,55,2822,2.685
0.74,5,2,7,60.8,57,2822,2.925
0.73,5,5,3,62.1,55,2822,2.875
0.71,4,7,3,62.7,60,2822,2.855
0.71,4,7,3,61.3,58,2822,2.875
0.7,4,7,3,60.2,60,2822,2.91
0.7,5,7,3,60.7,56,2822,2.875
0.9,2,1,4,64.0,61,2822,3.02
0.71,5,7,3,60.2,56,2822,2.93
0.7,4,6,4,61.5,59,2822,2.865
0.7,4,6,4,62.6,56,2822,2.855
0.7,5,7,3,59.7,58,2822,2.91
0.7,5,7,3,62.5,57,2822,2.81
0.7,5,7,3,61.8,56,2822,2.865
0.7,4,6,4,60.7,62,2822,2.86
0.7,4,5,4,60.6,58,2822,2.9
0.7,5,7,3,61.4,54,2822,2.875
0.79,3,7,2,62.8,59,2823,2.93
0.9,2,2,3,63.8,57,2823,3.03
0.71,4,6,4,62.3,58,2823,2.855
0.61,5,6,6,61.3,54,2823,2.755
0.71,5,6,3,60.5,56,2823,2.885
0.71,4,7,4,61.2,59,2824,2.87
0.77,5,2,6,62.1,57,2824,2.92
0.74,2,6,5,63.1,58,2824,2.865
0.82,5,5,2,62.4,54,2824,3.01
0.82,4,6,2,60.8,60,2824,3.025
0.71,4,4,5,62.2,59,2825,2.865
0.83,4,3,3,60.0,59,2825,3.04
0.73,3,4,5,62.0,57,2825,2.875
0.83,4,3,3,62.5,59,2825,3.01
1.17,4,1,1,60.2,61,2825,3.45
0.73,4,6,5,62.6,60,2826,2.875
0.9,4,2,2,62.2,59,2826,3.055
0.7,4,6,5,62.2,58,2826,2.83
0.7,3,7,4,63.3,56,2826,2.8
0.7,4,6,5,59.4,61,2826,2.89
0.9,3,2,2,63.5,56,2826,3.085
0.78,4,5,3,60.8,60,2826,2.985
0.96,5,5,1,60.7,55,2826,3.205
0.7,3,7,3,62.3,59,2827,2.835
0.72,2,7,4,64.0,54,2827,2.84
0.79,4,3,6,62.6,58,2827,2.98
0.7,5,3,7,61.6,57,2827,2.845
0.7,5,3,7,62.3,55,2827,2.83
0.7,5,7,2,60.6,57,2828,2.87
1.01,4,3,2,61.6,61,2828,3.195
0.72,4,5,5,62.2,58,2829,2.875
0.8,2,6,2,63.7,54,2829,2.955
0.59,5,6,7,62.0,56,2829,2.68
0.72,5,5,5,61.7,57,2829,2.885
0.75,4,6,2,61.9,57,2829,2.94
0.8,4,6,2,60.2,57,2829,3.025
0.71,3,6,4,62.7,59,2830,2.825
0.77,3,3,3,61.7,56,2830,2.92
0.97,5,5,1,60.7,56,2830,3.205
0.53,5,5,7,60.9,57,2830,2.615
0.53,5,5,7,61.8,57,2830,2.58
0.8,5,2,4,62.1,54,2830,2.97
0.9,4,4,3,60.6,62,2830,3.105
0.76,3,6,2,60.8,60,2831,2.945
0.72,5,6,3,62.3,57,2831,2.85
0.75,5,6,3,61.4,57,2831,2.91
0.72,4,6,3,62.1,58,2831,2.865
0.79,5,4,3,61.8,56,2831,2.965
0.72,3,5,4,62.5,58,2832,2.855
0.91,3,2,2,62.8,61,2832,3.075
0.71,4,4,6,62.1,57,2832,2.875
0.81,4,4,3,63.0,60,2832,2.935
0.82,5,3,3,62.5,57,2832,2.955
0.71,4,5,5,62.2,58,2832,2.86
0.9,2,1,3,64.3,63,2832,3.025
0.8,3,2,4,62.0,58,2833,2.93
0.56,3,6,8,61.0,59,2833,2.64
0.7,3,7,4,59.6,61,2833,2.885
0.7,5,7,4,61.0,57,2833,2.87
0.61,5,5,6,61.7,55,2833,2.725
0.85,5,3,2,62.5,57,2833,3.01
0.7,5,5,3,60.7,57,2833,2.865
0.8,5,4,4,62.2,56,2834,2.97
0.8,5,3,4,62.8,57,2834,2.955
0.51,3,7,7,59.9,58,2834,2.58
0.53,5,5,7,61.4,57,2834,2.6
0.78,5,2,4,61.8,55,2834,2.96
0.9,3,1,3,63.4,54,2834,3.085
0.77,5,6,2,60.7,55,2834,3.005
0.73,5,5,5,61.2,56,2835,2.945
0.63,5,5,6,61.9,57,2835,2.735
0.7,5,6,4,61.5,54,2835,2.85
0.72,5,6,4,62.8,57,2835,2.855
0.72,5,6,3,61.0,57,2835,2.89
0.75,4,5,4,59.6,59,2835,3.02
0.82,3,3,3,60.7,56,2836,3.02
0.71,2,6,4,62.8,60,2836,2.8
0.7,4,6,5,62.6,59,2837,2.845
0.7,5,6,5,61.8,56,2837,2.87
0.71,5,5,3,59.8,53,2838,2.93
0.76,3,3,3,60.9,55,2838,2.96
0.72,4,5,5,58.8,60,2838,2.955
0.7,4,5,4,62.3,58,2838,2.86
0.7,4,5,4,61.7,58,2838,2.845
0.7,4,4,5,62.6,55,2838,2.865
0.7,4,5,4,59.4,61,2838,2.915
0.7,3,6,3,63.5,59,2838,2.765
0.7,4,5,4,60.9,61,2838,2.855
0.7,4,5,4,59.5,58,2838,2.925
0.7,4,4,5,63.0,60,2838,2.82
0.74,3,6,3,60.0,57,2839,2.925
0.71,5,5,5,61.5,57,2839,2.87
0.7,5,5,5,61.6,54,2839,2.875
0.71,5,5,5,62.1,55,2839,2.91
0.71,4,5,5,59.1,61,2839,2.92
0.71,4,5,5,59.0,60,2839,2.91
0.71,4,5,5,60.5,58,2839,2.875
0.7,5,5,5,62.4,53,2839,2.865
0.73,5,4,4,61.8,54,2839,2.9
0.7,5,6,4,62.1,54,2839,2.845
0.7,5,4,5,61.3,57,2839,2.855
0.71,4,4,6,60.3,58,2839,2.91
0.71,4,5,5,59.2,58,2839,2.935
0.79,4,4,4,59.3,62,2839,3.045
0.71,4,5,5,62.7,59,2839,2.85
0.77,3,3,5,61.0,60,2840,2.95
0.75,3,5,2,59.8,56,2840,2.925
0.7,5,5,3,61.0,56,2840,2.875
0.71,4,5,4,59.3,56,2840,2.94
0.92,5,7,2,61.9,56,2840,3.135
0.83,4,5,2,61.4,59,2840,3.04
0.7,4,3,7,59.2,60,2840,2.935
0.73,4,5,4,60.3,59,2841,2.95
0.71,3,7,5,63.4,55,2841,2.845
0.73,3,7,3,63.9,57,2841,2.83
0.82,5,5,2,61.7,53,2841,3.0
0.82,5,5,2,62.3,56,2841,2.98
0.82,3,5,2,59.7,57,2841,3.06
0.52,5,5,7,61.2,56,2841,2.595
1.0,4,5,1,58.9,60,2841,3.3
0.73,5,7,3,61.4,57,2841,2.88
0.73,4,5,4,59.9,59,2841,2.935
0.73,4,4,5,61.4,58,2841,2.91
0.8,5,2,5,62.6,54,2842,2.96
0.7,3,6,4,60.2,62,2843,2.855
0.7,3,6,4,62.7,58,2843,2.825
0.71,3,6,4,59.4,58,2843,2.88
0.81,3,5,2,63.2,58,2843,2.955
0.71,3,7,3,61.5,58,2843,2.865
0.73,5,4,6,61.3,57,2843,2.905
0.73,3,5,5,61.8,59,2843,2.865
0.72,5,6,4,62.0,57,2843,2.855
0.81,5,5,2,62.1,57,2843,2.955
0.71,5,4,6,60.7,57,2843,2.905
0.7,3,6,5,62.0,59,2844,2.825
1.01,5,2,1,61.5,57,2844,3.225
1.01,2,2,1,63.1,57,2844,3.175
0.79,5,3,4,62.5,57,2844,2.955
0.7,3,6,4,61.8,59,2845,2.825
0.7,3,6,4,58.9,60,2845,2.915
0.8,2,3,4,63.4,60,2845,2.96
1.27,4,3,2,59.3,61,2845,3.56
0.79,5,7,3,61.5,56,2846,2.98
0.72,3,5,5,60.2,59,2846,2.895
0.73,5,3,6,61.6,56,2846,2.895
1.01,2,3,1,64.2,61,2846,3.125
0.73,5,6,3,59.1,59,2846,2.96
0.7,5,6,3,61.6,57,2846,2.855
0.7,2,5,4,59.1,61,2846,2.88
0.77,4,6,3,62.9,59,2846,2.92
0.77,4,4,4,61.3,60,2846,2.955
0.77,4,4,5,61.4,58,2846,2.97
0.84,3,3,3,61.2,57,2847,3.05
0.72,5,6,3,60.3,57,2847,2.915
0.76,4,7,3,61.1,59,2847,2.965
0.7,3,4,6,62.9,59,2848,2.805
0.54,5,7,6,61.5,55,2848,2.625
0.75,1,7,2,64.6,57,2848,2.87
0.79,2,6,3,64.1,54,2849,2.93
0.74,3,6,5,63.1,58,2849,2.875
0.7,3,6,4,61.0,60,2850,2.87
0.7,5,5,4,60.8,59,2850,2.845
0.75,5,1,3,61.5,56,2850,2.915
1.2,3,3,1,63.1,60,2850,3.375
0.8,3,5,3,63.4,57,2851,2.945
0.66,5,7,5,62.1,56,2851,2.77
0.87,3,5,2,61.0,63,2851,3.11
0.86,4,3,3,62.7,59,2851,3.02
0.74,5,5,3,61.0,57,2851,2.925
0.58,3,6,8,60.6,59,2852,2.685
0.78,5,2,5,61.5,57,2852,2.94
0.74,5,4,3,61.3,55,2852,2.925
0.73,5,6,3,62.7,55,2852,2.85
0.91,3,2,3,63.5,57,2852,3.06
0.71,4,5,4,62.6,58,2853,2.835
0.71,2,4,5,63.5,55,2853,2.82
0.79,5,7,2,62.8,57,2853,2.95
0.79,4,7,2,60.0,60,2853,3.035
0.71,4,6,3,62.7,58,2853,2.865
0.82,4,2,5,61.9,58,2853,2.995
0.78,3,3,5,61.9,57,2854,2.935
0.7,3,6,5,62.4,56,2854,2.82
1.12,4,3,1,59.1,61,2854,3.39
0.73,4,6,4,62.0,57,2854,2.93
0.91,1,1,4,64.4,62,2854,3.03
0.91,2,1,4,64.2,58,2854,3.06
0.68,4,5,6,61.7,57,2854,2.835
0.73,3,5,4,62.5,57,2855,2.85
